"EventID","PDGcode","nopflash","flash","flash_time","flashPE","maxhitamp","meanhitamp","maxhitarea","meanhitarea","maxhitwidth","meanhitwidth","maxhitPE","meanhitPE","maxhitrisetime","meanhitrisetime"
6,"pion",2,0,0.00301317,9586.14,5130.07,74.8631,181218,1211.9,1.694,0.0481871,906.088,6.05951,0.052,0.00463464
7,"pion",1,0,0.00229428,4787.04,2437.45,59.9927,94621.4,713.419,1.112,0.0421788,473.107,3.56709,0.044,0.00436364
8,"pion",1,0,0.00102772,7948.46,3509.12,64.3827,114223,921.56,0.944,0.044487,571.113,4.6078,0.288,0.00480928
9,"pion",1,0,0.000977628,12146.2,4944.48,67.6971,214300,1021.98,1.678,0.0458326,1071.5,5.1099,0.042,0.00464535
10,"pion",1,0,0.232028,2679.91,3118.31,59.7088,100555,692.482,1.144,0.042031,502.773,3.46241,0.042,0.0045814
11,"pion",1,0,0.00138285,15202.4,5906.23,73.4712,318480,1475.97,2.34,0.0504262,1592.4,7.37983,0.12,0.0049068
12,"pion",1,0,0.00229428,8611.46,3889.53,65.9484,174148,981.363,1.686,0.0447533,870.741,4.90681,0.304,0.00496638
13,"pion",2,0,0.000605002,20180.5,13740.9,87.1693,653214,1910.13,3.382,0.0498836,3266.07,9.55063,0.104,0.00470043
14,"pion",2,0,0.0166992,55.9593,132.11,42.8563,944.64,294.523,0.05,0.0341053,4.7232,1.47261,0.008,0.00405263
15,"pion",3,0,2.38219,311.536,139.605,43.5168,1099.12,298.12,0.068,0.0341053,5.49562,1.4906,0.008,0.00414354
16,"pion",3,0,1013.62,577.663,640.425,52.3348,7365.6,403.96,0.096,0.0354825,36.828,2.0198,0.01,0.00420979
17,"pion",1,0,0.00102772,8360.39,4561.59,67.0445,235248,1037.91,2.134,0.0456834,1176.24,5.18957,0.246,0.00496834
18,"pion",1,0,0.763013,3028.01,2424.83,59.294,74079.5,732.287,0.808,0.0424837,370.397,3.66143,0.042,0.00449577
19,"pion",4,0,0.0455532,677.598,366.295,47.6138,4897.93,381.745,0.116,0.0364563,24.4897,1.90873,0.022,0.00429296
20,"pion",1,0,0.00276375,17067.9,7329.47,76.3792,320746,1471.37,2.41,0.0503276,1603.73,7.35685,0.956,0.00555776
1,"pion",1,0,0.00201317,6064.29,3438.06,63.2797,170159,919.528,1.586,0.0445807,850.793,4.59764,0.616,0.00516149
2,"pion",1,0,0.00201317,7053.09,4102.53,65.16,160840,862.236,1.724,0.0434645,804.202,4.31118,0.116,0.00471271
3,"pion",1,0,0.000952506,8861.18,4891.73,65.8688,227271,1069.55,1.634,0.0464273,1136.36,5.34773,0.422,0.00516958
4,"pion",2,0,0.0014571,19110.9,12153.4,84.9105,564309,1842.01,3.026,0.052001,2821.54,9.21006,0.124,0.00502458
5,"pion",1,0,0.117013,3066.97,3697.19,62.9146,95669,770.596,0.836,0.0418568,478.345,3.85298,0.088,0.00460302
6,"pion",1,0,0.00276375,10658,5440.52,68.9416,335784,1283.32,2.734,0.0473016,1678.92,6.41661,0.808,0.00530524
7,"pion",1,0,0.000763753,5665.97,3325.86,63.9109,94430.8,778.292,0.84,0.0426332,472.154,3.89146,0.046,0.00452198
8,"pion",2,0,0.00276375,8088.06,4756.55,68.2075,153951,959.437,1.336,0.0446465,769.753,4.79719,0.062,0.00466667
9,"pion",1,0,0.00127167,10791.7,5488.01,69.5984,224738,1119.47,1.864,0.0461224,1123.69,5.59734,0.152,0.00478112
10,"pion",1,0,0.0982717,3420.69,2065.24,61.9926,47811,725.491,0.492,0.0427932,239.055,3.62745,0.086,0.00471474
11,"pion",2,0,0.0014571,14740.8,5523.35,72.3209,261124,1211.74,1.996,0.0474558,1305.62,6.05868,0.04,0.00467735
12,"pion",1,0,0.00112332,9534.67,4478.71,65.3186,163260,898.227,1.356,0.0440782,816.3,4.49113,0.07,0.00453415
13,"pion",1,0,0.0024654,17398.9,10853.4,84.7893,516336,1803.93,2.292,0.0509549,2581.68,9.01963,0.164,0.00480456
14,"pion",5,0,0.00112332,18817.6,12970.4,83.4422,673659,1804.18,3.042,0.0494334,3368.29,9.02089,0.16,0.00485714
15,"pion",2,0,0.00343042,12854.2,8032.65,74.1462,346091,1289.94,2.098,0.0479548,1730.46,6.4497,0.114,0.00478976
16,"pion",6,0,385.482,2651.54,4741.64,64.6542,148503,819.641,1.61,0.0428964,742.513,4.0982,0.072,0.00472025
17,"pion",2,0,0.00202772,7989.2,5075.72,66.3018,153526,912.01,1.344,0.0436176,767.631,4.56005,0.09,0.00463242
18,"pion",1,0,0.516028,2828.04,3103.55,59.3017,88071.7,688.925,0.898,0.0410792,440.359,3.44462,0.06,0.00448721
19,"pion",3,0,0.00277167,16093.3,6468.28,77.0194,313109,1531.24,2.268,0.05051,1565.54,7.65619,0.088,0.00473073
20,"pion",4,0,779.215,699.268,761.35,49.7099,8352.4,397.311,0.098,0.035858,41.762,1.98656,0.01,0.00422727
1,"pion",1,0,2.15576,2911.52,1351.5,56.4377,56513,659.462,0.808,0.0417214,282.565,3.29731,0.112,0.00463873
2,"pion",2,0,0.00129428,4556.63,3279.42,61.2683,122512,850.912,0.964,0.0433128,612.558,4.25456,0.026,0.00439402
3,"pion",1,0,0.00195251,9481.75,4146.84,64.4797,242940,1169.14,2.146,0.0473539,1214.7,5.84571,0.112,0.00459803
4,"pion",1,0,0.00245665,13905.8,5888.86,70.1377,280945,1206.58,2.352,0.0476694,1404.72,6.03288,0.122,0.00470976
5,"pion",1,0,1.09629,3174.39,3468.83,62.8906,87043.2,813.946,0.79,0.0440128,435.216,4.06973,0.074,0.00454103
6,"pion",1,0,0.000977628,9206.3,4311.43,67.7464,207174,1095.34,1.79,0.0461356,1035.87,5.47668,0.166,0.00480071
7,"pion",1,0,0.00201317,4381.93,2578.09,59.8635,139805,832.276,1.374,0.0436182,699.027,4.16138,0.18,0.0045717
8,"pion",1,0,2.77167e-05,8634.89,4362.9,66.3646,282487,1026.13,2.81,0.0462852,1412.43,5.13066,0.704,0.00530362
9,"pion",3,0,-2.23724e-05,8560.92,5778.06,65.171,236711,915.117,1.784,0.0438151,1183.55,4.57559,0.104,0.00477071
10,"pion",1,0,0.541488,3870.44,3458.7,63.5596,94709.7,820.009,0.978,0.0432754,473.549,4.10005,0.068,0.00481144
11,"pion",2,0,0.00245251,23707.1,11377.5,88.9894,531603,2046.36,2.92,0.0531817,2658.01,10.2318,0.14,0.00472249
12,"pion",1,0,0.00127167,9226.14,3652.26,64.8573,187148,900.111,1.87,0.0444917,935.739,4.50055,0.062,0.00468195
13,"pion",1,0,0.00195251,10719,5669.84,67.82,288552,1196.98,2.636,0.046986,1442.76,5.9849,0.132,0.00485874
14,"pion",2,0,0.00177167,27936.4,11782.4,95.9445,586643,2249.31,3.048,0.0537697,2933.22,11.2465,0.256,0.00500966
15,"pion",1,0,0.00276375,17071.2,7505.57,75.4015,479040,1500.77,3.288,0.0499903,2395.2,7.50383,0.354,0.00495033
16,"pion",2,0,0.00171618,25275,10808.2,89.5311,555787,2091.43,2.868,0.0533281,2778.93,10.4572,0.06,0.00484981
17,"pion",1,0,0.00112332,13642.8,11523.3,81.2626,581790,1573.57,3.062,0.0489781,2908.95,7.86784,0.056,0.0047451
18,"pion",1,0,0.460097,3838.58,2481.43,63.0553,66521,784.183,1.09,0.042907,332.605,3.92091,0.174,0.0048335
19,"pion",4,0,0.0014571,20868.9,8166.23,83.1773,377055,1804.49,2.738,0.0522888,1885.28,9.02246,0.086,0.00488975
20,"pion",2,0,0.00209709,21022.8,13171,87.8368,666026,2040.06,3.02,0.0517225,3330.13,10.2003,0.13,0.00483746
1,"pion",1,0,0.000952506,7124.91,3737.41,63.8387,129582,840.698,1.304,0.0433746,647.91,4.20349,0.044,0.00470324
2,"pion",1,0,0.00178998,5703.87,3558.74,63.1148,160883,950.644,1.242,0.045085,804.415,4.75322,0.12,0.00476333
3,"pion",1,0,0.00129428,9656.66,4597.76,66.8026,274644,1128.11,2.21,0.0462313,1373.22,5.64057,0.35,0.0049264
4,"pion",2,0,0.000716185,14704.8,5945.31,71.7912,275466,1167.98,2.222,0.0465862,1377.33,5.83988,0.1,0.00474821
