EventID,PDGcode,nopflash,flash,flash_time,flashPE,maxhitamp,meanhitamp,maxhitarea,meanhitarea,maxhitwidth,meanhitwidth,maxhitPE,meanhitPE,maxhitrisetime,meanhitrisetime
2,-13,1,0,0.00102772,7686.77,3456.8,64.8032,114282,841.924,0.944,0.0433746,571.408,4.20962,0.228,0.00480613
3,-13,1,0,0.00229428,12194.3,5338.49,73.023,282706,1410.56,1.988,0.0492389,1413.53,7.05281,0.144,0.00500636
4,-13,1,0,0.00195251,16696.9,6605.8,75.0076,418092,1581.15,2.652,0.0507566,2090.46,7.90575,0.172,0.00476799
5,-13,1,0,1.10701,2205.97,2610.97,60.2561,41553.6,678.761,0.53,0.041,207.768,3.39381,0.03,0.00439692
6,-13,1,0,0.00229428,10378.9,4630.53,67.1676,254708,1230.46,1.938,0.0477368,1273.54,6.1523,0.078,0.00456313
7,-13,1,0,0.218294,4670.24,3115.7,57.6753,229153,811.509,2.108,0.0427976,1145.76,4.05755,0.232,0.00482363
8,-13,1,0,0.000790437,8948.27,4618.61,64.3033,283906,1147.95,1.9,0.046721,1419.53,5.73975,0.078,0.00464657
9,-13,1,0,0.00164429,14442.4,5307.93,72.501,285156,1380.07,2.104,0.049204,1425.78,6.90035,0.21,0.00506546
10,-13,1,0,0.412013,1789.01,1572.27,56.4301,47527.1,604.394,0.778,0.0412162,237.636,3.02197,0.034,0.00431419
11,-13,1,0,0.00229428,16231.2,6544.14,73.6574,349244,1423.16,2.634,0.049886,1746.22,7.11581,0.126,0.0048961
12,-13,1,0,0.00128584,7971.83,4183.45,67.3044,119246,973.362,1.234,0.0454249,596.23,4.86681,0.07,0.00470574
13,-13,2,0,0.00212377,11860.9,5441.57,69.3052,207789,1047.32,1.876,0.0456185,1038.94,5.23661,0.048,0.00461898
13,-13,2,1,8.16612,358.638,5441.57,69.3052,207789,1047.32,1.876,0.0456185,1038.94,5.23661,0.048,0.00461898
14,-13,1,0,0.00184501,24796.1,7711.11,82.5644,445714,1905.19,2.608,0.0551733,2228.57,9.52597,0.08,0.00494506
15,-13,1,0,0.00224758,15897.9,5357.11,72.8846,317237,1417.55,2.574,0.0506322,1586.18,7.08777,0.214,0.00512706
16,-13,1,0,0.00122074,23438,7422.58,79.9043,419779,1704.59,2.356,0.0529411,2098.9,8.52293,0.438,0.00507855
