EventID,PDGcode,nopflash,flash,flash_time,flashPE,maxhitamp,meanhitamp,maxhitarea,meanhitarea,maxhitwidth,meanhitwidth,maxhitPE,meanhitPE,maxhitrisetime,meanhitrisetime
6,211,1,0,0.00178998,8983.53,5262.45,63.4249,297739,1053.17,2.536,0.0458523,1488.7,5.26584,0.104,0.00464947
7,211,1,0,0.000952506,5699.69,3757.4,63.7181,194733,906.871,1.762,0.0443564,973.665,4.53436,0.07,0.00472713
8,211,1,0,-0.000154564,8391.76,4405.84,64.4283,168122,904.772,1.444,0.0446889,840.611,4.52386,0.094,0.00461995
9,211,1,0,0.00195251,11129.9,5340.23,71.2323,246228,1195.48,2.164,0.0473523,1231.14,5.97741,0.138,0.00496778
10,211,1,0,0.305764,3537.99,3176.11,65.2351,85931.7,823.747,1.21,0.0439604,429.658,4.11874,0.046,0.00458207
11,211,2,0,0.00202772,14117.1,7808.38,79.3743,374362,1588.87,2.45,0.0492313,1871.81,7.94436,0.19,0.00470568
11,211,2,1,24.659,201.507,7808.38,79.3743,374362,1588.87,2.45,0.0492313,1871.81,7.94436,0.19,0.00470568
12,211,1,0,0.00162762,9549.76,4445.39,66.0048,285908,1275,1.952,0.0476101,1429.54,6.37501,0.076,0.00467957
13,211,1,0,0.0014571,18145.4,11162.3,85.7557,523904,1747.27,2.588,0.049949,2619.52,8.73635,0.308,0.00496774
14,211,3,0,725.439,161.2,136.88,48.6324,2135.96,346.666,0.082,0.0356774,10.6798,1.73333,0.008,0.00430108
14,211,3,1,0.00195251,30999.2,136.88,48.6324,2135.96,346.666,0.082,0.0356774,10.6798,1.73333,0.008,0.00430108
14,211,3,2,1214.45,196.156,136.88,48.6324,2135.96,346.666,0.082,0.0356774,10.6798,1.73333,0.008,0.00430108
15,211,1,0,0.00136105,23682.3,14077.6,88.7285,775843,2147.08,3.346,0.0515576,3879.21,10.7354,0.092,0.00464098
16,211,4,0,536.006,331.7,330.02,49.1487,4331.68,404.512,0.072,0.0365366,21.6584,2.02256,0.01,0.00423171
16,211,4,1,293.358,190.023,330.02,49.1487,4331.68,404.512,0.072,0.0365366,21.6584,2.02256,0.01,0.00423171
16,211,4,2,0.00178998,30191.9,330.02,49.1487,4331.68,404.512,0.072,0.0365366,21.6584,2.02256,0.01,0.00423171
16,211,4,3,330.024,107.567,330.02,49.1487,4331.68,404.512,0.072,0.0365366,21.6584,2.02256,0.01,0.00423171
17,211,1,0,0.000952506,15935.2,13194.5,83.8747,640362,1714.39,2.91,0.0496611,3201.81,8.57195,0.04,0.00464013
18,211,1,0,1.89895,1373.52,2067.42,58.6459,35813.4,590.761,0.396,0.0398968,179.067,2.95381,0.014,0.00445161
19,211,1,0,0.00201317,15708.5,10730.9,80.3085,504376,1506.09,2.23,0.0478993,2521.88,7.53043,0.214,0.00472004
20,211,1,0,0.0014571,16405.6,6056.68,72.7175,304150,1249.47,2.202,0.0479741,1520.75,6.24737,0.052,0.00471135
1,211,1,0,0.00102772,6198.21,3326.52,63.7535,105604,859.073,1.236,0.0441996,528.019,4.29537,0.142,0.00459044
2,211,1,0,0.000952506,5624.95,3785.93,61.7092,150305,797.3,1.608,0.0427002,751.523,3.9865,0.128,0.00463218
3,211,1,0,0.00433293,10958.4,4641.85,71.4857,184563,1114.79,1.746,0.0469451,922.815,5.57396,0.086,0.00471414
4,211,2,0,141.873,1073.22,741.64,51.6386,8976.96,445.32,0.14,0.0373071,44.8848,2.2266,0.012,0.00426556
4,211,2,1,0.00162762,18516.6,741.64,51.6386,8976.96,445.32,0.14,0.0373071,44.8848,2.2266,0.012,0.00426556
5,211,1,0,0.348294,2418.18,3292.41,61.1781,95317.9,712.276,1.1,0.0415817,476.59,3.56138,0.052,0.00444772
6,211,2,0,0.00301317,9586.14,5130.07,74.8631,181218,1211.9,1.694,0.0481871,906.088,6.05951,0.052,0.00463464
6,211,2,1,8.21939,1519.43,5130.07,74.8631,181218,1211.9,1.694,0.0481871,906.088,6.05951,0.052,0.00463464
7,211,1,0,0.00229428,4787.04,2437.45,59.9927,94621.4,713.419,1.112,0.0421788,473.107,3.56709,0.044,0.00436364
8,211,1,0,0.00102772,7948.46,3509.12,64.3827,114223,921.56,0.944,0.044487,571.113,4.6078,0.288,0.00480928
9,211,1,0,0.000977628,12146.2,4944.48,67.6971,214300,1021.98,1.678,0.0458326,1071.5,5.1099,0.042,0.00464535
10,211,1,0,0.232028,2679.91,3118.31,59.7088,100555,692.482,1.144,0.042031,502.773,3.46241,0.042,0.0045814
11,211,1,0,0.00138285,15202.4,5906.23,73.4712,318480,1475.97,2.34,0.0504262,1592.4,7.37983,0.12,0.0049068
12,211,1,0,0.00229428,8611.46,3889.53,65.9484,174148,981.363,1.686,0.0447533,870.741,4.90681,0.304,0.00496638
13,211,2,0,0.000605002,20180.5,13740.9,87.1693,653214,1910.13,3.382,0.0498836,3266.07,9.55063,0.104,0.00470043
13,211,2,1,81.8983,1594.98,13740.9,87.1693,653214,1910.13,3.382,0.0498836,3266.07,9.55063,0.104,0.00470043
14,211,2,0,0.0166992,55.9593,132.11,42.8563,944.64,294.523,0.05,0.0341053,4.7232,1.47261,0.008,0.00405263
14,211,2,1,0.000554074,16607.1,132.11,42.8563,944.64,294.523,0.05,0.0341053,4.7232,1.47261,0.008,0.00405263
15,211,3,0,2.38219,311.536,139.605,43.5168,1099.12,298.12,0.068,0.0341053,5.49562,1.4906,0.008,0.00414354
15,211,3,1,0.00112332,20291.1,139.605,43.5168,1099.12,298.12,0.068,0.0341053,5.49562,1.4906,0.008,0.00414354
15,211,3,2,1018,304.04,139.605,43.5168,1099.12,298.12,0.068,0.0341053,5.49562,1.4906,0.008,0.00414354
16,211,3,0,1013.62,577.663,640.425,52.3348,7365.6,403.96,0.096,0.0354825,36.828,2.0198,0.01,0.00420979
16,211,3,1,0.00127167,26814.6,640.425,52.3348,7365.6,403.96,0.096,0.0354825,36.828,2.0198,0.01,0.00420979
16,211,3,2,810.28,831.462,640.425,52.3348,7365.6,403.96,0.096,0.0354825,36.828,2.0198,0.01,0.00420979
17,211,1,0,0.00102772,8360.39,4561.59,67.0445,235248,1037.91,2.134,0.0456834,1176.24,5.18957,0.246,0.00496834
18,211,1,0,0.763013,3028.01,2424.83,59.294,74079.5,732.287,0.808,0.0424837,370.397,3.66143,0.042,0.00449577
19,211,4,0,0.0455532,677.598,366.295,47.6138,4897.93,381.745,0.116,0.0364563,24.4897,1.90873,0.022,0.00429296
19,211,4,1,1208.56,612.862,366.295,47.6138,4897.93,381.745,0.116,0.0364563,24.4897,1.90873,0.022,0.00429296
19,211,4,2,244.324,307.235,366.295,47.6138,4897.93,381.745,0.116,0.0364563,24.4897,1.90873,0.022,0.00429296
19,211,4,3,-0.00178031,15246,366.295,47.6138,4897.93,381.745,0.116,0.0364563,24.4897,1.90873,0.022,0.00429296
20,211,1,0,0.00276375,17067.9,7329.47,76.3792,320746,1471.37,2.41,0.0503276,1603.73,7.35685,0.956,0.00555776
1,211,1,0,0.00201317,6064.29,3438.06,63.2797,170159,919.528,1.586,0.0445807,850.793,4.59764,0.616,0.00516149
2,211,1,0,0.00201317,7053.09,4102.53,65.16,160840,862.236,1.724,0.0434645,804.202,4.31118,0.116,0.00471271
3,211,1,0,0.000952506,8861.18,4891.73,65.8688,227271,1069.55,1.634,0.0464273,1136.36,5.34773,0.422,0.00516958
4,211,2,0,0.0014571,19110.9,12153.4,84.9105,564309,1842.01,3.026,0.052001,2821.54,9.21006,0.124,0.00502458
4,211,2,1,1292.47,600.799,12153.4,84.9105,564309,1842.01,3.026,0.052001,2821.54,9.21006,0.124,0.00502458
5,211,1,0,0.117013,3066.97,3697.19,62.9146,95669,770.596,0.836,0.0418568,478.345,3.85298,0.088,0.00460302
6,211,1,0,0.00276375,10658,5440.52,68.9416,335784,1283.32,2.734,0.0473016,1678.92,6.41661,0.808,0.00530524
7,211,1,0,0.000763753,5665.97,3325.86,63.9109,94430.8,778.292,0.84,0.0426332,472.154,3.89146,0.046,0.00452198
8,211,2,0,0.00276375,8088.06,4756.55,68.2075,153951,959.437,1.336,0.0446465,769.753,4.79719,0.062,0.00466667
8,211,2,1,8.22536,695.684,4756.55,68.2075,153951,959.437,1.336,0.0446465,769.753,4.79719,0.062,0.00466667
9,211,1,0,0.00127167,10791.7,5488.01,69.5984,224738,1119.47,1.864,0.0461224,1123.69,5.59734,0.152,0.00478112
10,211,1,0,0.0982717,3420.69,2065.24,61.9926,47811,725.491,0.492,0.0427932,239.055,3.62745,0.086,0.00471474
11,211,2,0,0.0014571,14740.8,5523.35,72.3209,261124,1211.74,1.996,0.0474558,1305.62,6.05868,0.04,0.00467735
11,211,2,1,8.20405,186.024,5523.35,72.3209,261124,1211.74,1.996,0.0474558,1305.62,6.05868,0.04,0.00467735
12,211,1,0,0.00112332,9534.67,4478.71,65.3186,163260,898.227,1.356,0.0440782,816.3,4.49113,0.07,0.00453415
13,211,1,0,0.0024654,17398.9,10853.4,84.7893,516336,1803.93,2.292,0.0509549,2581.68,9.01963,0.164,0.00480456
14,211,5,0,0.00112332,18817.6,12970.4,83.4422,673659,1804.18,3.042,0.0494334,3368.29,9.02089,0.16,0.00485714
14,211,5,1,710.642,723.681,12970.4,83.4422,673659,1804.18,3.042,0.0494334,3368.29,9.02089,0.16,0.00485714
14,211,5,2,658.884,496.781,12970.4,83.4422,673659,1804.18,3.042,0.0494334,3368.29,9.02089,0.16,0.00485714
14,211,5,3,57.1026,356.224,12970.4,83.4422,673659,1804.18,3.042,0.0494334,3368.29,9.02089,0.16,0.00485714
14,211,5,4,1281.89,120.799,12970.4,83.4422,673659,1804.18,3.042,0.0494334,3368.29,9.02089,0.16,0.00485714
15,211,2,0,0.00343042,12854.2,8032.65,74.1462,346091,1289.94,2.098,0.0479548,1730.46,6.4497,0.114,0.00478976
15,211,2,1,8.27727,119.947,8032.65,74.1462,346091,1289.94,2.098,0.0479548,1730.46,6.4497,0.114,0.00478976
16,211,6,0,385.482,2651.54,4741.64,64.6542,148503,819.641,1.61,0.0428964,742.513,4.0982,0.072,0.00472025
16,211,6,1,326.672,307.894,4741.64,64.6542,148503,819.641,1.61,0.0428964,742.513,4.0982,0.072,0.00472025
16,211,6,2,0.00178998,25743.5,4741.64,64.6542,148503,819.641,1.61,0.0428964,742.513,4.0982,0.072,0.00472025
16,211,6,3,82.0509,1386.48,4741.64,64.6542,148503,819.641,1.61,0.0428964,742.513,4.0982,0.072,0.00472025
16,211,6,4,117.736,120.527,4741.64,64.6542,148503,819.641,1.61,0.0428964,742.513,4.0982,0.072,0.00472025
16,211,6,5,290.841,156.38,4741.64,64.6542,148503,819.641,1.61,0.0428964,742.513,4.0982,0.072,0.00472025
17,211,2,0,0.00202772,7989.2,5075.72,66.3018,153526,912.01,1.344,0.0436176,767.631,4.56005,0.09,0.00463242
17,211,2,1,8.03239,396.552,5075.72,66.3018,153526,912.01,1.344,0.0436176,767.631,4.56005,0.09,0.00463242
18,211,1,0,0.516028,2828.04,3103.55,59.3017,88071.7,688.925,0.898,0.0410792,440.359,3.44462,0.06,0.00448721
19,211,3,0,0.00277167,16093.3,6468.28,77.0194,313109,1531.24,2.268,0.05051,1565.54,7.65619,0.088,0.00473073
19,211,3,1,998.126,254.78,6468.28,77.0194,313109,1531.24,2.268,0.05051,1565.54,7.65619,0.088,0.00473073
